sload,dload,rate,sjit,djit,tcprtt,synack,ackdat,proto,service,label
0.008461366309550786,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
5.300112960916185e-05,0.00012032708773641747,4.2083126e-05,0.0019019848269062228,0.0006299934814222607,0.11061724336841622,0.057986946949844596,0.10312423564190301,0.8560606060606061,0.0,1
0.0190857889569578,0.0,0.14285714000000002,0.0,0.0,0.0,0.0,0.0,0.4393939393939394,0.0,1
0.009519037599246613,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
0.008461366309550786,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
5.914597399068266e-07,0.00019396010209283169,1.6357907999999997e-05,0.0041512372644609994,0.027736175079377784,0.047732476131379944,0.02437734246450119,0.045389391958887075,0.8560606060606061,0.25,1
0.038076150396986454,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
0.008461366309550786,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
5.39674371759801e-07,0.00011693970359541411,9.301394999999998e-06,0.008356450618974583,0.001664105609252731,0.12194841146487763,0.07090954278140045,0.10404475292001232,0.8560606060606061,0.0,1
0.0668002638543622,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6742424242424243,0.0,1
0.015230460158794581,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
8.173963017336523e-07,0.00013320605028914855,2.0474329999999997e-05,0.0043830343448729185,0.0004889925051560484,0.04608413299016672,0.032421232250594186,0.031550729707196606,0.8560606060606061,0.0,1
0.02672010554174488,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,0.0,1
0.019038075198493227,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
0.008461366309550786,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
0.02271208971048315,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.0,1
1.710833080619585e-05,0.0005159219684668192,3.0571048999999997e-05,0.0026666448701796667,0.0003526898532310984,0.026840362016171394,0.021592571149978673,0.014633594672572007,0.8560606060606061,0.0,1
0.015230460158794581,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
7.080148275877675e-07,6.201017895679964e-05,1.1638707e-05,0.005222156071976337,0.0013118192623419302,0.1447246865984383,0.08758579514290939,0.11873686619097842,0.8560606060606061,0.41666666666666663,1
0.02672010554174488,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,0.0,1
0.019038075198493227,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
0.008461366309550786,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
6.966429176698605e-07,0.0001531964350460448,1.2006779e-05,0.006638338080631025,0.0008859286906850547,0.08404207721407778,0.05497316640258394,0.06327241262318495,0.8560606060606061,0.0,1
2.8191985895525088e-05,0.0003379150977601746,3.81494e-05,0.001967231047326906,0.0005278980890311107,0.05905768923094392,0.03408285849229081,0.05074285744343422,0.8560606060606061,0.75,1
0.008461366309550786,0.0,0.11111111,0.0,0.0,0.0,0.0,0.0,0.9015151515151515,0.16666666666666666,1
