Time,Avg Latency,Throughput,Reliability,Total Delivered,Total Dropped
90.1,0.0,0.0,1.0,0,0
90.2,0.1,7.6,1.0,38,0
90.3,0.1077,20.8,1.0,104,0
90.4,0.1095,29.6,1.0,148,0
90.5,0.1127,37.8,1.0,189,0
90.6,0.1137,48.2,1.0,241,0
90.7,0.1158,57.0,1.0,285,0
90.8,0.1197,70.2,1.0,351,0
90.9,0.1206,78.8,1.0,394,0
91.0,0.1226,89.4,1.0,447,0
91.1,0.1237,99.6,1.0,498,0
91.2,0.1238,109.2,1.0,546,0
91.3,0.1238,121.2,1.0,606,0
91.4,0.1238,133.6,1.0,668,0
91.5,0.1233,145.0,1.0,725,0
91.6,0.1242,156.4,1.0,782,0
91.7,0.1258,165.2,1.0,826,0
91.8,0.1263,173.6,1.0,868,0
91.9,0.1264,183.6,1.0,918,0
92.0,0.1272,193.0,1.0,965,0
92.1,0.1277,205.8,1.0,1029,0
92.2,0.1274,216.6,1.0,1083,0
92.3,0.1273,226.6,1.0,1133,0
92.4,0.1275,238.0,1.0,1190,0
92.5,0.1279,251.6,1.0,1258,0
92.6,0.1291,262.6,1.0,1313,0
92.7,0.1288,271.8,1.0,1359,0
92.8,0.1291,283.2,1.0,1416,0
92.9,0.1295,292.4,1.0,1462,0
93.0,0.1297,302.6,1.0,1513,0
93.1,0.1298,314.4,1.0,1572,0
93.2,0.1294,325.2,1.0,1626,0
93.3,0.1301,334.0,1.0,1670,0
93.4,0.1299,344.2,1.0,1721,0
93.5,0.1298,352.2,1.0,1761,0
93.6,0.1302,363.2,1.0,1816,0
93.7,0.13,376.4,1.0,1882,0
93.8,0.1297,384.2,1.0,1921,0
93.9,0.1306,394.8,1.0,1974,0
94.0,0.132,405.6,1.0,2028,0
94.1,0.1317,418.2,1.0,2091,0
94.2,0.1327,429.6,1.0,2148,0
94.3,0.1342,439.6,1.0,2198,0
94.4,0.1347,449.8,1.0,2249,0
94.5,0.1345,459.6,1.0,2298,0
94.6,0.1344,472.0,1.0,2360,0
94.7,0.1341,483.2,1.0,2416,0
94.8,0.1354,493.2,1.0,2466,0
94.9,0.1353,503.4,1.0,2517,0
95.0,0.1354,512.4,1.0,2562,0
95.1,0.1353,524.6,1.0,2623,0
95.2,0.137,533.4,1.0,2667,0
95.3,0.1375,537.0,1.0,2723,0
95.4,0.1376,534.0,1.0,2774,0
95.5,0.1391,536.2,1.0,2829,0
95.6,0.1392,537.4,1.0,2876,0
95.7,0.139,536.8,1.0,2925,0
95.8,0.1391,540.2,1.0,2986,0
95.9,0.1394,536.0,1.0,3031,0
96.0,0.1392,536.6,1.0,3077,0
96.1,0.1392,540.8,1.0,3151,0
96.2,0.1392,539.4,1.0,3195,0
96.3,0.1392,540.6,1.0,3249,0
96.4,0.1392,539.4,1.0,3303,0
96.5,0.1393,536.6,1.0,3351,0
96.6,0.1393,535.4,1.0,3402,0
96.7,0.1393,535.2,1.0,3458,0
96.8,0.1392,535.8,1.0,3505,0
96.9,0.1394,540.4,1.0,3570,0
97.0,0.1398,541.8,1.0,3627,0
97.1,0.1398,542.0,1.0,3675,0
97.2,0.1399,539.4,1.0,3726,0
97.3,0.1399,540.8,1.0,3787,0
97.4,0.14,539.4,1.0,3830,0
97.5,0.1409,540.6,1.0,3893,0
97.6,0.1426,539.4,1.0,3955,0
97.7,0.1434,539.6,1.0,4011,0
97.8,0.1437,542.6,1.0,4072,0
97.9,0.1439,540.6,1.0,4119,0
98.0,0.1449,544.2,1.0,4183,0
98.1,0.1453,548.8,1.0,4257,0
98.2,0.145,549.2,1.0,4318,0
98.3,0.1449,546.0,1.0,4356,0
98.4,0.1468,547.0,1.0,4405,0
98.5,0.1467,548.0,1.0,4461,0
98.6,0.147,550.8,1.0,4515,0
98.7,0.1475,549.4,1.0,4563,0
98.8,0.148,550.4,1.0,4634,0
98.9,0.148,555.2,1.0,4697,0
99.0,0.148,556.4,1.0,4756,0
99.1,0.1479,559.4,1.0,4825,0
99.2,0.1482,558.4,1.0,4883,0
99.3,0.148,557.0,1.0,4933,0
99.4,0.1485,559.0,1.0,4993,0
99.5,0.1486,559.0,1.0,5044,0
99.6,0.1485,560.0,1.0,5098,0
99.7,0.1505,558.0,1.0,5150,0
99.8,0.1523,558.2,1.0,5207,0
99.9,0.1521,558.4,1.0,5258,0
100.0,0.1525,559.4,1.0,5314,0
100.1,0.1522,562.2,1.0,5373,0
100.2,0.1518,562.2,1.0,5434,0
100.3,0.1516,562.4,1.0,5479,0
100.4,0.1521,564.2,1.0,5544,0
100.5,0.1544,563.4,1.0,5591,0
100.6,0.1544,564.6,1.0,5652,0
100.7,0.1562,566.8,1.0,5710,0
100.8,0.1573,568.2,1.0,5766,0
100.9,0.1572,569.6,1.0,5834,0
101.0,0.1569,572.4,1.0,5893,0
101.1,0.1585,574.6,1.0,5950,0
101.2,0.1584,570.6,1.0,6004,0
101.3,0.1585,575.4,1.0,6072,0
101.4,0.1584,574.6,1.0,6122,0
101.5,0.1583,575.8,1.0,6182,0
101.6,0.1582,577.0,1.0,6236,0
101.7,0.1598,577.2,1.0,6288,0
101.8,0.1598,575.2,1.0,6334,0
101.9,0.1613,576.4,1.0,6387,0
