Time,Avg Latency,Throughput,Reliability,Total Delivered,Total Dropped
0.1,0.0,0.0,1.0,0,0
0.2,0.1,7.6,1.0,38,0
0.3,0.1122,19.6,1.0,98,0
0.4,0.1185,31.4,1.0,157,0
0.5,0.1188,41.6,1.0,208,0
0.6,0.1199,53.2,1.0,266,0
0.7,0.1213,62.8,1.0,314,0
0.8,0.125,72.8,1.0,364,0
0.9,0.1252,81.8,1.0,409,0
1.0,0.1251,91.0,1.0,455,0
1.1,0.1249,99.6,1.0,498,0
1.2,0.1251,109.8,1.0,549,0
1.3,0.1258,119.4,1.0,597,0
1.4,0.1257,129.0,1.0,645,0
1.5,0.1278,139.6,1.0,698,0
1.6,0.1276,152.4,1.0,762,0
1.7,0.13,161.4,1.0,807,0
1.8,0.1304,173.2,1.0,866,0
1.9,0.1306,185.0,1.0,925,0
2.0,0.1319,194.8,1.0,974,0
2.1,0.1316,206.8,1.0,1034,0
2.2,0.1318,217.6,1.0,1088,0
2.3,0.1314,228.2,1.0,1141,0
2.4,0.1314,240.4,1.0,1202,0
2.5,0.1325,249.4,1.0,1247,0
2.6,0.1327,260.8,1.0,1304,0
2.7,0.1323,271.6,1.0,1358,0
2.8,0.1319,281.2,1.0,1406,0
2.9,0.1333,291.6,1.0,1458,0
3.0,0.1332,301.4,1.0,1507,0
3.1,0.136,313.6,1.0,1568,0
3.2,0.1361,322.2,1.0,1611,0
3.3,0.1358,333.4,1.0,1667,0
3.4,0.1366,345.0,1.0,1725,0
3.5,0.1364,355.2,1.0,1776,0
3.6,0.1362,366.2,1.0,1831,0
3.7,0.1362,378.4,1.0,1892,0
3.8,0.1362,390.0,1.0,1950,0
3.9,0.1362,399.6,1.0,1998,0
4.0,0.136,411.0,1.0,2055,0
4.1,0.1358,421.4,1.0,2107,0
4.2,0.1358,432.4,1.0,2162,0
4.3,0.1364,442.8,1.0,2214,0
4.4,0.1359,452.6,1.0,2263,0
4.5,0.1371,467.6,1.0,2338,0
4.6,0.1379,479.2,1.0,2396,0
4.7,0.1384,489.6,1.0,2448,0
4.8,0.1381,500.8,1.0,2504,0
4.9,0.1378,512.6,1.0,2563,0
5.0,0.1373,522.2,1.0,2611,0
5.1,0.1386,534.0,1.0,2670,0
5.2,0.1384,543.8,1.0,2719,0
5.3,0.139,548.6,1.0,2781,0
5.4,0.1394,548.0,1.0,2838,0
5.5,0.1403,547.2,1.0,2893,0
5.6,0.1403,548.0,1.0,2948,0
5.7,0.1401,547.0,1.0,3001,0
5.8,0.1399,547.4,1.0,3051,0
5.9,0.1416,552.4,1.0,3126,0
6.0,0.1423,553.8,1.0,3178,0
6.1,0.1421,554.0,1.0,3225,0
6.2,0.1427,556.2,1.0,3279,0
6.3,0.1441,556.6,1.0,3332,0
6.4,0.1438,558.8,1.0,3391,0
6.5,0.1436,559.6,1.0,3443,0
6.6,0.144,561.0,1.0,3503,0
6.7,0.1443,560.4,1.0,3564,0
6.8,0.1467,564.4,1.0,3629,0
6.9,0.1483,562.8,1.0,3680,0
7.0,0.1488,561.0,1.0,3730,0
7.1,0.1489,564.4,1.0,3796,0
7.2,0.1486,562.6,1.0,3847,0
7.3,0.1484,561.6,1.0,3896,0
7.4,0.1483,562.0,1.0,3951,0
7.5,0.1509,557.8,1.0,3991,0
7.6,0.1507,558.8,1.0,4041,0
7.7,0.1511,558.8,1.0,4098,0
7.8,0.1522,557.0,1.0,4143,0
7.9,0.152,559.6,1.0,4204,0
8.0,0.1533,561.0,1.0,4263,0
8.1,0.153,562.2,1.0,4318,0
8.2,0.154,563.0,1.0,4383,0
8.3,0.1556,566.0,1.0,4441,0
8.4,0.1573,566.6,1.0,4500,0
8.5,0.1586,565.6,1.0,4553,0
8.6,0.1595,565.8,1.0,4605,0
8.7,0.1612,564.6,1.0,4654,0
8.8,0.1621,563.2,1.0,4708,0
8.9,0.1616,562.6,1.0,4763,0
9.0,0.1626,564.2,1.0,4819,0
9.1,0.1624,562.4,1.0,4867,0
9.2,0.1625,562.8,1.0,4921,0
9.3,0.1624,562.8,1.0,4976,0
9.4,0.1623,563.2,1.0,5030,0
9.5,0.1624,564.6,1.0,5086,0
9.6,0.1626,562.0,1.0,5148,0
9.7,0.1624,563.0,1.0,5211,0
9.8,0.1622,562.0,1.0,5258,0
9.9,0.1621,562.4,1.0,5316,0
10.0,0.1643,562.2,1.0,5374,0
10.1,0.164,564.6,1.0,5434,0
10.2,0.1652,562.2,1.0,5481,0
10.3,0.1649,562.8,1.0,5533,0
10.4,0.1645,560.6,1.0,5584,0
10.5,0.1642,559.0,1.0,5633,0
10.6,0.1639,560.0,1.0,5693,0
10.7,0.1637,558.8,1.0,5742,0
10.8,0.1637,557.0,1.0,5786,0
10.9,0.1645,558.0,1.0,5841,0
11.0,0.1644,553.8,1.0,5895,0
11.1,0.1648,554.8,1.0,5952,0
11.2,0.1649,555.6,1.0,6003,0
11.3,0.1645,555.6,1.0,6057,0
11.4,0.1644,555.2,1.0,6108,0
11.5,0.1642,554.0,1.0,6161,0
11.6,0.1656,554.2,1.0,6214,0
11.7,0.1659,553.0,1.0,6268,0
11.8,0.1658,551.6,1.0,6322,0
11.9,0.1657,549.2,1.0,6375,0
12.0,0.166,548.2,1.0,6421,0
12.1,0.167,550.6,1.0,6483,0
12.2,0.1668,548.0,1.0,6536,0
12.3,0.1668,547.6,1.0,6585,0
12.4,0.1673,549.2,1.0,6642,0
12.5,0.167,547.4,1.0,6688,0
12.6,0.1669,550.4,1.0,6743,0
12.7,0.1667,550.4,1.0,6793,0
12.8,0.1666,547.8,1.0,6837,0
12.9,0.1664,550.6,1.0,6896,0
13.0,0.1664,549.0,1.0,6949,0
13.1,0.1665,549.4,1.0,7010,0
13.2,0.1673,548.0,1.0,7058,0
13.3,0.1672,552.2,1.0,7144,0
13.4,0.1678,552.8,1.0,7205,0
13.5,0.1677,553.6,1.0,7268,0
13.6,0.1676,554.0,1.0,7323,0
13.7,0.1675,554.8,1.0,7379,0
13.8,0.1676,556.2,1.0,7435,0
13.9,0.1675,555.4,1.0,7485,0
14.0,0.1684,558.2,1.0,7554,0
14.1,0.1682,561.0,1.0,7624,0
14.2,0.1681,564.4,1.0,7689,0
14.3,0.1684,567.0,1.0,7756,0
14.4,0.1684,565.8,1.0,7805,0
14.5,0.1687,566.6,1.0,7863,0
14.6,0.1707,566.8,1.0,7920,0
14.7,0.1719,565.6,1.0,7976,0
14.8,0.1729,565.4,1.0,8038,0
14.9,0.1733,567.6,1.0,8096,0
15.0,0.1733,568.4,1.0,8158,0
15.1,0.175,568.4,1.0,8216,0
15.2,0.1749,567.6,1.0,8272,0
15.3,0.1748,566.4,1.0,8313,0
15.4,0.1756,567.0,1.0,8368,0
15.5,0.1753,568.0,1.0,8424,0
15.6,0.1753,566.4,1.0,8465,0
15.7,0.1757,564.6,1.0,8516,0
15.8,0.1775,566.0,1.0,8572,0
15.9,0.1777,567.8,1.0,8625,0
16.0,0.1779,568.8,1.0,8685,0
16.1,0.1779,567.8,1.0,8734,0
16.2,0.178,566.8,1.0,8786,0
16.3,0.1785,564.4,1.0,8825,0
16.4,0.1794,564.0,1.0,8877,0
16.5,0.1794,565.0,1.0,8933,0
16.6,0.1793,568.4,1.0,9003,0
16.7,0.1792,569.6,1.0,9062,0
16.8,0.179,569.2,1.0,9114,0
16.9,0.1792,568.4,1.0,9164,0
17.0,0.1793,569.8,1.0,9224,0
17.1,0.1792,558.0,1.0,9273,0
17.2,0.1798,558.6,1.0,9329,0
17.3,0.1812,561.0,1.0,9390,0
17.4,0.1819,561.0,1.0,9447,0
17.5,0.1832,563.2,1.0,9504,0
17.6,0.1832,562.4,1.0,9555,0
17.7,0.1831,564.2,1.0,9614,0
17.8,0.183,564.6,1.0,9660,0
17.9,0.183,561.6,1.0,9704,0
18.0,0.1841,561.6,1.0,9757,0
18.1,0.1839,560.6,1.0,9813,0
18.2,0.1852,561.8,1.0,9867,0
