Time,Avg Latency,Throughput,Reliability,Total Delivered,Total Dropped
60.1,0.0,0.0,1.0,0,0
60.2,0.1,7.2,1.0,36,0
60.3,0.1111,14.4,1.0,72,0
60.4,0.1208,25.0,1.0,125,0
60.5,0.12,35.0,1.0,175,0
60.6,0.1184,47.8,1.0,239,0
60.7,0.1194,57.6,1.0,288,0
60.8,0.1187,65.4,1.0,327,0
60.9,0.1219,77.6,1.0,388,0
61.0,0.1232,87.0,1.0,435,0
61.1,0.1235,98.6,1.0,493,0
61.2,0.1246,108.2,1.0,541,0
61.3,0.1253,121.8,1.0,609,0
61.4,0.1242,130.6,1.0,653,0
61.5,0.1264,140.8,1.0,704,0
61.6,0.1269,156.0,1.0,780,0
61.7,0.1281,171.6,1.0,858,0
61.8,0.1281,183.6,1.0,918,0
61.9,0.1282,194.4,1.0,972,0
62.0,0.1284,204.2,1.0,1021,0
62.1,0.1284,214.8,1.0,1074,0
62.2,0.1311,227.2,1.0,1136,0
62.3,0.1315,234.6,1.0,1173,0
62.4,0.1321,245.6,1.0,1228,0
62.5,0.1311,259.6,1.0,1298,0
62.6,0.1317,273.2,1.0,1366,0
62.7,0.1315,281.4,1.0,1407,0
62.8,0.1319,292.6,1.0,1463,0
62.9,0.132,305.4,1.0,1527,0
63.0,0.1315,315.6,1.0,1578,0
63.1,0.1312,328.6,1.0,1643,0
63.2,0.131,340.8,1.0,1704,0
63.3,0.1309,350.6,1.0,1753,0
63.4,0.1305,359.8,1.0,1799,0
63.5,0.1307,370.8,1.0,1854,0
63.6,0.1307,381.2,1.0,1906,0
63.7,0.1311,393.6,1.0,1968,0
63.8,0.1314,401.8,1.0,2009,0
63.9,0.1329,414.8,1.0,2074,0
64.0,0.1342,422.2,1.0,2111,0
64.1,0.134,432.0,1.0,2160,0
64.2,0.1347,441.0,1.0,2205,0
64.3,0.1365,450.6,1.0,2253,0
64.4,0.1379,462.4,1.0,2312,0
64.5,0.1377,472.8,1.0,2364,0
64.6,0.1379,484.4,1.0,2422,0
64.7,0.138,494.6,1.0,2473,0
64.8,0.1382,507.2,1.0,2536,0
64.9,0.1389,518.6,1.0,2593,0
65.0,0.139,532.0,1.0,2660,0
65.1,0.1398,544.4,1.0,2722,0
65.2,0.1398,555.0,1.0,2775,0
65.3,0.1397,556.2,1.0,2817,0
65.4,0.1399,561.0,1.0,2877,0
65.5,0.1396,559.4,1.0,2922,0
65.6,0.1412,559.4,1.0,2972,0
65.7,0.1418,557.8,1.0,3028,0
65.8,0.1418,559.0,1.0,3083,0
65.9,0.1414,562.0,1.0,3137,0
66.0,0.1429,560.4,1.0,3190,0
66.1,0.1436,564.4,1.0,3257,0
66.2,0.1437,565.2,1.0,3319,0
66.3,0.1435,564.6,1.0,3364,0
66.4,0.1436,563.0,1.0,3424,0
66.5,0.1452,564.6,1.0,3476,0
66.6,0.1474,567.0,1.0,3539,0
66.7,0.1479,562.6,1.0,3593,0
66.8,0.149,558.4,1.0,3650,0
66.9,0.149,554.6,1.0,3691,0
67.0,0.1491,553.2,1.0,3738,0
67.1,0.1492,553.4,1.0,3788,0
67.2,0.1489,552.6,1.0,3837,0
67.3,0.1493,555.2,1.0,3912,0
67.4,0.1502,560.2,1.0,3974,0
67.5,0.15,562.2,1.0,4039,0
67.6,0.1513,559.4,1.0,4095,0
67.7,0.1528,555.6,1.0,4144,0
67.8,0.153,559.6,1.0,4205,0
67.9,0.1528,557.4,1.0,4250,0
68.0,0.153,556.6,1.0,4310,0
68.1,0.1532,557.0,1.0,4363,0
68.2,0.1549,555.0,1.0,4418,0
68.3,0.1546,554.8,1.0,4478,0
68.4,0.1555,555.2,1.0,4529,0
68.5,0.1552,557.6,1.0,4587,0
68.6,0.1571,557.4,1.0,4641,0
68.7,0.1568,556.6,1.0,4689,0
68.8,0.1575,554.6,1.0,4741,0
68.9,0.1588,556.4,1.0,4791,0
69.0,0.1592,554.8,1.0,4848,0
69.1,0.159,559.0,1.0,4906,0
69.2,0.1589,560.8,1.0,4964,0
69.3,0.159,560.8,1.0,5009,0
69.4,0.1586,564.0,1.0,5073,0
69.5,0.1603,563.8,1.0,5131,0
69.6,0.1604,564.0,1.0,5184,0
69.7,0.1604,561.4,1.0,5229,0
69.8,0.1603,563.0,1.0,5288,0
69.9,0.1607,562.4,1.0,5348,0
70.0,0.1621,560.2,1.0,5394,0
70.1,0.1619,558.4,1.0,5452,0
70.2,0.1648,557.4,1.0,5509,0
70.3,0.1652,560.2,1.0,5576,0
70.4,0.1649,566.2,1.0,5648,0
70.5,0.1663,567.2,1.0,5713,0
70.6,0.1665,574.4,1.0,5794,0
70.7,0.1683,576.6,1.0,5855,0
70.8,0.1684,581.0,1.0,5933,0
70.9,0.1685,584.2,1.0,6004,0
71.0,0.1688,587.8,1.0,6076,0
71.1,0.1697,590.8,1.0,6144,0
71.2,0.1698,590.6,1.0,6210,0
71.3,0.1703,592.4,1.0,6281,0
71.4,0.1701,597.8,1.0,6353,0
71.5,0.171,601.8,1.0,6433,0
71.6,0.1711,606.2,1.0,6507,0
71.7,0.1726,609.2,1.0,6585,0
71.8,0.1727,611.6,1.0,6651,0
71.9,0.1734,613.8,1.0,6719,0
72.0,0.1735,616.6,1.0,6774,0
72.1,0.1737,625.4,1.0,6865,0
72.2,0.1741,629.2,1.0,6934,0
72.3,0.1738,634.4,1.0,7009,0
72.4,0.174,632.0,1.0,7072,0
72.5,0.1739,633.8,1.0,7143,0
72.6,0.1738,635.4,1.0,7216,0
72.7,0.1749,640.8,1.0,7299,0
72.8,0.1748,644.6,1.0,7367,0
72.9,0.175,647.0,1.0,7440,0
73.0,0.1752,650.6,1.0,7503,0
73.1,0.178,652.2,1.0,7571,0
73.2,0.1778,657.0,1.0,7648,0
73.3,0.1776,660.4,1.0,7720,0
