Time,Avg Latency,Throughput,Reliability,Total Delivered,Total Dropped
150.1,0.0,0.0,1.0,0,0
150.2,0.1,10.0,1.0,50,0
150.3,0.1091,17.6,1.0,88,0
150.4,0.1145,27.6,1.0,138,0
150.5,0.1153,40.4,1.0,202,0
150.6,0.1189,51.8,1.0,259,0
150.7,0.1197,60.8,1.0,304,0
150.8,0.1223,71.0,1.0,355,0
150.9,0.1224,83.8,1.0,419,0
151.0,0.1241,93.0,1.0,465,0
151.1,0.1261,101.8,1.0,509,0
151.2,0.1254,112.6,1.0,563,0
151.3,0.1258,125.8,1.0,629,0
151.4,0.1263,134.8,1.0,674,0
151.5,0.1264,143.4,1.0,717,0
151.6,0.1265,152.6,1.0,763,0
151.7,0.1279,163.4,1.0,817,0
151.8,0.1283,176.2,1.0,881,0
151.9,0.1284,190.2,1.0,951,0
152.0,0.1292,202.4,1.0,1012,0
152.1,0.1308,214.0,1.0,1070,0
152.2,0.1328,222.8,1.0,1114,0
152.3,0.1334,232.0,1.0,1160,0
152.4,0.1328,245.0,1.0,1225,0
152.5,0.1333,255.2,1.0,1276,0
152.6,0.1334,267.4,1.0,1337,0
152.7,0.1332,277.8,1.0,1389,0
152.8,0.1336,290.4,1.0,1452,0
152.9,0.1337,299.8,1.0,1499,0
153.0,0.1339,311.6,1.0,1558,0
153.1,0.1339,323.6,1.0,1618,0
153.2,0.1336,334.2,1.0,1671,0
153.3,0.1341,344.6,1.0,1723,0
153.4,0.1337,355.8,1.0,1779,0
153.5,0.1346,365.8,1.0,1829,0
153.6,0.1347,377.0,1.0,1885,0
153.7,0.135,390.2,1.0,1951,0
153.8,0.1349,401.2,1.0,2006,0
153.9,0.1358,412.2,1.0,2061,0
154.0,0.1357,423.2,1.0,2116,0
154.1,0.1368,436.4,1.0,2182,0
154.2,0.1383,449.6,1.0,2248,0
154.3,0.1386,458.2,1.0,2291,0
154.4,0.1388,468.4,1.0,2342,0
154.5,0.1405,477.8,1.0,2389,0
154.6,0.1404,490.6,1.0,2453,0
154.7,0.1404,502.2,1.0,2511,0
154.8,0.1404,512.0,1.0,2560,0
154.9,0.1404,521.2,1.0,2606,0
155.0,0.1406,530.2,1.0,2651,0
155.1,0.1415,540.6,1.0,2703,0
155.2,0.141,554.2,1.0,2771,0
155.3,0.1422,554.2,1.0,2821,0
155.4,0.1428,557.2,1.0,2874,0
155.5,0.1431,557.8,1.0,2927,0
155.6,0.1448,555.8,1.0,2981,0
155.7,0.1451,553.8,1.0,3028,0
155.8,0.145,555.6,1.0,3082,0
155.9,0.1449,555.6,1.0,3133,0
156.0,0.1461,552.6,1.0,3182,0
156.1,0.1462,556.4,1.0,3247,0
156.2,0.1463,557.4,1.0,3296,0
156.3,0.1462,559.0,1.0,3358,0
156.4,0.1464,558.2,1.0,3420,0
156.5,0.1481,559.6,1.0,3472,0
